query_type,case_id,query,predicted,expected,exact_match,missing,extra,error
1p,1,"(8148, (1543,))","[18618, 36926, 68626, 77849, 82232]","[18618, 36926, 68626, 77849, 82232]",True,[],[],
1p,2,"(37655, (6661,))",[47936],[47936],True,[],[],
1p,3,"(23659, (4,))",[60299],[60299],True,[],[],
1p,4,"(9737, (9656,))",[84128],[84128],True,[],[],
1p,5,"(5177, (65,))",[12695],[12695],True,[],[],
1p,6,"(1280, (3364,))","[12078, 19562, 36474, 72763, 74994, 80709, 83005]","[12078, 19562, 36474, 72763, 74994, 80709, 83005]",True,[],[],
1p,7,"(7088, (263,))","[53488, 54757, 58194, 80530]","[53488, 54757, 58194, 80530]",True,[],[],
1p,8,"(6983, (261,))","[29948, 82766]","[29948, 82766]",True,[],[],
1p,9,"(20432, (1771,))",[37747],[37747],True,[],[],
1p,10,"(9880, (3642,))","[21628, 23898, 25148, 39059, 42287]","[21628, 23898, 25148, 39059, 42287]",True,[],[],
1p,11,"(281, (2029,))","[30184, 30355]","[30184, 30355]",True,[],[],
1p,12,"(8084, (183,))","[5304, 8503, 11000, 12614, 14059, 21953, 30966, 33899, 34749, 37376, 40929, 44859, 44971, 51688, 60809]","[5304, 8503, 11000, 12614, 14059, 21953, 30966, 33899, 34749, 37376, 40929, 44859, 44971, 51688, 60809]",True,[],[],
1p,13,"(240, (211,))","[8292, 11020, 29158, 33088, 36986, 40372]","[8292, 11020, 29158, 33088, 36986, 40372]",True,[],[],
1p,14,"(2907, (755,))","[2908, 10602, 19422, 21984, 45040, 50861, 77198]","[2908, 10602, 19422, 21984, 45040, 50861, 77198]",True,[],[],
1p,15,"(8673, (5384,))",[35984],[35984],True,[],[],
1p,16,"(13133, (104,))","[2539, 28675, 39200, 45652, 60538, 64893, 67327, 83054]","[2539, 28675, 39200, 45652, 60538, 64893, 67327, 83054]",True,[],[],
1p,17,"(449, (4182,))",[45229],[45229],True,[],[],
1p,18,"(6825, (735,))",[48038],[48038],True,[],[],
1p,19,"(1457, (7730,))",[69988],[69988],True,[],[],
1p,20,"(6493, (57,))",[26368],[26368],True,[],[],
1p,21,"(12935, (3028,))","[43437, 49288, 50734, 71526]","[43437, 49288, 50734, 71526]",True,[],[],
1p,22,"(5310, (76,))","[69787, 72824]","[69787, 72824]",True,[],[],
1p,23,"(4986, (566,))",[41451],[41451],True,[],[],
1p,24,"(6191, (491,))",[73399],[73399],True,[],[],
1p,25,"(512, (592,))",[18667],[18667],True,[],[],
1p,26,"(4274, (560,))",[72075],[72075],True,[],[],
1p,27,"(291, (1270,))",[14435],[14435],True,[],[],
1p,28,"(5638, (160,))",[31090],[31090],True,[],[],
1p,29,"(6519, (121,))",[67754],[67754],True,[],[],
1p,30,"(1821, (62,))",[39902],[39902],True,[],[],
1p,31,"(2176, (1087,))",[4863],[4863],True,[],[],
1p,32,"(11896, (183,))","[11897, 12065, 14793, 14989, 26939, 28868, 30990, 33825, 34384, 41285, 41594, 43512, 50820, 55645, 57468, 58004, 62716, 72714, 82421]","[11897, 12065, 14793, 14989, 26939, 28868, 30990, 33825, 34384, 41285, 41594, 43512, 50820, 55645, 57468, 58004, 62716, 72714, 82421]",True,[],[],
1p,33,"(4860, (45,))","[9987, 44989, 51700, 66236]","[9987, 44989, 51700, 66236]",True,[],[],
1p,34,"(6474, (1346,))","[6475, 51896, 55295, 68574, 70845]","[6475, 51896, 55295, 68574, 70845]",True,[],[],
1p,35,"(4791, (4436,))",[10754],[10754],True,[],[],
1p,36,"(6519, (119,))",[18491],[18491],True,[],[],
1p,37,"(1017, (2651,))","[6719, 12387, 12570, 50252, 58072, 68397]","[6719, 12387, 12570, 50252, 58072, 68397]",True,[],[],
1p,38,"(2640, (234,))","[18358, 56893]","[18358, 56893]",True,[],[],
1p,39,"(12990, (481,))",[54398],[54398],True,[],[],
1p,40,"(8131, (401,))",[63277],[63277],True,[],[],
1p,41,"(2674, (829,))","[20463, 29496, 33590, 51928]","[20463, 29496, 33590, 51928]",True,[],[],
1p,42,"(9580, (3129,))","[17806, 29468, 31315, 43440, 58967, 84248]","[17806, 29468, 31315, 43440, 58967, 84248]",True,[],[],
1p,43,"(1946, (9145,))",[77185],[77185],True,[],[],
1p,44,"(18732, (550,))","[29279, 40373]","[29279, 40373]",True,[],[],
1p,45,"(6505, (122,))","[15235, 80144]","[15235, 80144]",True,[],[],
1p,46,"(7773, (105,))","[6483, 7774, 9561, 10054, 11442, 12919, 14413, 16800, 17740, 24958, 34046, 49602, 54454, 58689, 83119]","[6483, 7774, 9561, 10054, 11442, 12919, 14413, 16800, 17740, 24958, 34046, 49602, 54454, 58689, 83119]",True,[],[],
1p,47,"(1041, (152,))",[8632],[8632],True,[],[],
1p,48,"(6128, (190,))",[48554],[48554],True,[],[],
1p,49,"(139, (660,))",[34238],[34238],True,[],[],
1p,50,"(1175, (797,))",[66545],[66545],True,[],[],
1p,51,"(22140, (551,))",[22141],[22141],True,[],[],
1p,52,"(18807, (1125,))","[1390, 30098, 32417, 84639]","[1390, 30098, 32417, 84639]",True,[],[],
1p,53,"(494, (102,))","[2069, 18533, 61123]","[2069, 18533, 61123]",True,[],[],
1p,54,"(2813, (99,))","[286, 15825, 22131]","[286, 15825, 22131]",True,[],[],
1p,55,"(7139, (327,))","[8624, 17888, 18471, 19887, 35075, 36917, 41305, 65174, 72286]","[8624, 17888, 18471, 19887, 35075, 36917, 41305, 65174, 72286]",True,[],[],
1p,56,"(9834, (3226,))","[27041, 32122, 45409, 62029]","[27041, 32122, 45409, 62029]",True,[],[],
1p,57,"(1560, (54,))","[47376, 77629]","[47376, 77629]",True,[],[],
1p,58,"(4160, (307,))",[26710],[26710],True,[],[],
1p,59,"(11402, (21,))","[5896, 22748, 26897, 38589, 41324, 51167]","[5896, 22748, 26897, 38589, 41324, 51167]",True,[],[],
1p,60,"(2674, (376,))","[11173, 17489, 17647, 27064, 65914, 74078]","[11173, 17489, 17647, 27064, 65914, 74078]",True,[],[],
1p,61,"(6819, (4233,))",[49026],[49026],True,[],[],
1p,62,"(1766, (1279,))",[53386],[53386],True,[],[],
1p,63,"(7929, (292,))","[59663, 74307]","[59663, 74307]",True,[],[],
1p,64,"(1920, (5939,))","[19448, 23972, 68014]","[19448, 23972, 68014]",True,[],[],
1p,65,"(3567, (4680,))","[38388, 55225, 56055]","[38388, 55225, 56055]",True,[],[],
1p,66,"(3912, (2062,))",[45801],[45801],True,[],[],
1p,67,"(41701, (216,))",[65856],[65856],True,[],[],
1p,68,"(6406, (306,))",[80743],[80743],True,[],[],
1p,69,"(40445, (28,))","[34267, 40446, 64517]","[34267, 40446, 64517]",True,[],[],
1p,70,"(1198, (162,))","[218, 1199, 9934, 10895, 15990, 23011, 33647, 33757, 52396, 55227, 67230, 72404, 79799]","[218, 1199, 9934, 10895, 15990, 23011, 33647, 33757, 52396, 55227, 67230, 72404, 79799]",True,[],[],
1p,71,"(3281, (813,))","[3282, 5135, 7092, 36936]","[3282, 5135, 7092, 36936]",True,[],[],
1p,72,"(798, (21,))","[799, 20340, 30553, 36607, 40234, 45768, 46603, 49623, 50877, 52162, 55585, 60863, 68583, 81409, 81602]","[799, 20340, 30553, 36607, 40234, 45768, 46603, 49623, 50877, 52162, 55585, 60863, 68583, 81409, 81602]",True,[],[],
1p,73,"(10510, (515,))","[10511, 12811, 20951, 22916, 67502, 68689]","[10511, 12811, 20951, 22916, 67502, 68689]",True,[],[],
1p,74,"(13695, (3185,))",[18165],[18165],True,[],[],
1p,75,"(18774, (301,))",[47273],[47273],True,[],[],
1p,76,"(16109, (5479,))","[67543, 83271]","[67543, 83271]",True,[],[],
1p,77,"(15607, (153,))","[30313, 57539, 66280, 70119, 71698]","[30313, 57539, 66280, 70119, 71698]",True,[],[],
1p,78,"(837, (2755,))","[15197, 22549, 22862, 55314, 55332, 60125, 64133, 69323, 78705, 80488]","[15197, 22549, 22862, 55314, 55332, 60125, 64133, 69323, 78705, 80488]",True,[],[],
1p,79,"(1237, (1467,))",[7230],[7230],True,[],[],
1p,80,"(2473, (186,))",[69183],[69183],True,[],[],
1p,81,"(4085, (306,))","[14292, 68815]","[14292, 68815]",True,[],[],
1p,82,"(364, (1329,))",[56424],[56424],True,[],[],
1p,83,"(6107, (58,))",[66438],[66438],True,[],[],
1p,84,"(2205, (372,))",[61111],[61111],True,[],[],
1p,85,"(12231, (35,))",[5325],[5325],True,[],[],
1p,86,"(3587, (29,))","[28318, 30052, 37145, 53523, 67687, 68870, 70131, 78202]","[28318, 30052, 37145, 53523, 67687, 68870, 70131, 78202]",True,[],[],
1p,87,"(599, (829,))","[18325, 28010, 32105]","[18325, 28010, 32105]",True,[],[],
1p,88,"(730, (252,))",[731],[731],True,[],[],
1p,89,"(429, (456,))",[43324],[43324],True,[],[],
1p,90,"(1451, (57,))",[27485],[27485],True,[],[],
1p,91,"(1922, (411,))","[7848, 10958, 14903, 17898, 70553, 84043]","[7848, 10958, 14903, 17898, 70553, 84043]",True,[],[],
1p,92,"(903, (15,))","[44659, 66586]","[44659, 66586]",True,[],[],
1p,93,"(1619, (448,))",[83244],[83244],True,[],[],
1p,94,"(13903, (65,))","[13904, 31512, 50330]","[13904, 31512, 50330]",True,[],[],
1p,95,"(2928, (472,))",[51770],[51770],True,[],[],
1p,96,"(21597, (350,))",[70899],[70899],True,[],[],
1p,97,"(10444, (8,))","[15339, 15506, 43707]","[15339, 15506, 43707]",True,[],[],
1p,98,"(1734, (54,))","[58297, 65091, 71660, 75478]","[58297, 65091, 71660, 75478]",True,[],[],
1p,99,"(10003, (4043,))","[24561, 39942, 78110]","[24561, 39942, 78110]",True,[],[],
1p,100,"(437, (133,))","[29577, 31582, 71523]","[29577, 31582, 71523]",True,[],[],
1p,101,"(19267, (1542,))",[60122],[60122],True,[],[],
1p,102,"(19152, (65,))",[30582],[30582],True,[],[],
1p,103,"(7040, (1885,))",[50858],[50858],True,[],[],
1p,104,"(242, (637,))","[20355, 27536]","[20355, 27536]",True,[],[],
1p,105,"(4038, (2420,))","[8670, 10435, 24422, 80919]","[8670, 10435, 24422, 80919]",True,[],[],
1p,106,"(7254, (404,))","[56877, 76417]","[56877, 76417]",True,[],[],
1p,107,"(983, (200,))","[13034, 27535, 76413]","[13034, 27535, 76413]",True,[],[],
1p,108,"(6450, (388,))","[12985, 17742, 22798, 54791, 78151]","[12985, 17742, 22798, 54791, 78151]",True,[],[],
1p,109,"(502, (6544,))",[46784],[46784],True,[],[],
1p,110,"(5229, (293,))",[41597],[41597],True,[],[],
1p,111,"(2301, (151,))","[7674, 22728]","[7674, 22728]",True,[],[],
1p,112,"(21760, (3,))",[80166],[80166],True,[],[],
1p,113,"(10186, (35,))","[16277, 34632]","[16277, 34632]",True,[],[],
1p,114,"(7305, (745,))",[62143],[62143],True,[],[],
1p,115,"(7385, (264,))","[8980, 54676]","[8980, 54676]",True,[],[],
1p,116,"(5408, (4427,))",[27729],[27729],True,[],[],
1p,117,"(22509, (79,))",[41129],[41129],True,[],[],
1p,118,"(10436, (145,))","[43685, 65813, 68867]","[43685, 65813, 68867]",True,[],[],
1p,119,"(7194, (461,))",[32856],[32856],True,[],[],
1p,120,"(7722, (39,))","[7723, 47939]","[7723, 47939]",True,[],[],
1p,121,"(1839, (211,))","[1838, 24444, 56245, 64125]","[1838, 24444, 56245, 64125]",True,[],[],
1p,122,"(167, (11,))","[33802, 74951]","[33802, 74951]",True,[],[],
1p,123,"(9973, (183,))","[4352, 9769, 13412, 14976, 18897, 19628, 20906, 21818, 22761, 24237, 25015, 26242, 29253, 46395, 47826, 49924, 58065, 72411, 75625, 80451]","[4352, 9769, 13412, 14976, 18897, 19628, 20906, 21818, 22761, 24237, 25015, 26242, 29253, 46395, 47826, 49924, 58065, 72411, 75625, 80451]",True,[],[],
1p,124,"(23844, (4235,))",[73796],[73796],True,[],[],
1p,125,"(40, (211,))","[691, 12037, 12479, 36500, 45340, 51155, 57592]","[691, 12037, 12479, 36500, 45340, 51155, 57592]",True,[],[],
1p,126,"(10274, (39,))",[49747],[49747],True,[],[],
1p,127,"(2541, (129,))","[7282, 10396, 10655, 14783, 27961, 41703, 44599, 46176, 70055, 74297]","[7282, 10396, 10655, 14783, 27961, 41703, 44599, 46176, 70055, 74297]",True,[],[],
1p,128,"(9875, (1825,))",[62778],[62778],True,[],[],
