method,qtype,sample_id,all_projection_exact,all_projection_contain_gold,recoverable_imperfect_intermediate,final_exact_match,final_precision,final_recall,final_f1,exact_recovery_from_imperfect_contained,symbolic_intersection_f1,symbolic_intersection_exact,llm_vs_symbolic
Decomp,2i,1,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,2,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,3,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,4,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,5,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,6,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,7,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,8,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,9,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,10,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,11,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,12,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,13,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,14,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,15,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,16,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,17,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,18,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,19,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,20,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,21,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,22,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,23,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,24,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,25,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,26,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,27,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,28,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,29,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,30,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,31,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,32,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,33,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,34,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,35,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,36,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,37,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,38,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,39,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,40,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,41,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,42,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,43,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,44,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,45,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,46,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,47,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,48,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,49,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,50,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,51,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,52,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,53,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,54,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,55,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,56,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,57,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,58,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,59,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,60,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,61,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,62,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,63,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,64,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,65,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,66,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,67,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,68,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,69,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,70,0,0,0,0,0.625,0.714285714,0.666666667,0,0,0,LLM_better
Decomp,2i,71,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,72,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,73,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,74,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,75,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,76,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,77,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,78,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,79,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,80,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,81,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,82,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,83,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,84,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,85,0,0,0,1,1,1,1,0,0,0,LLM_better
Decomp,2i,86,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,87,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,88,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,89,0,0,0,0,0,0,0,0,0,0,Tie
Decomp,2i,90,1,1,0,1,1,1,1,0,1,1,Tie
Decomp,2i,91,0,0,0,0,0,0,0,0,0,0,Tie
